tid	season	rooftype	game_played	plays	fumbles_lost
NYG	2002	RETRACTABLE	1	69	2
NYG	2003	INDOOR	2	123	4
NYG	2003	OUTDOOR	14	924	31
NYG	2004	INDOOR	1	65	3
NYG	2004	OUTDOOR	15	886	26
NYG	2005	OUTDOOR	16	1055	17
NYG	2006	INDOOR	1	70	1
NYG	2006	OUTDOOR	15	933	22
NYG	2007	INDOOR	2	143	4
NYG	2007	OUTDOOR	14	898	22
NYG	2008	INDOOR	2	124	1
NYG	2008	OUTDOOR	13	836	17
NYG	2008	RETRACTABLE	1	61	0
NYG	2009	INDOOR	2	100	3
NYG	2009	OUTDOOR	13	853	27
NYG	2009	RETRACTABLE	1	64	0
NYG	2010	INDOOR	1	66	0
NYG	2010	OUTDOOR	12	769	18
NYG	2010	RETRACTABLE	3	200	8
NYG	2011	INDOOR	1	70	4
NYG	2011	OUTDOOR	13	815	12
NYG	2011	RETRACTABLE	2	143	2
NYG	2012	INDOOR	1	47	1
NYG	2012	OUTDOOR	14	863	11
NYG	2012	RETRACTABLE	1	58	1
NYG	2013	INDOOR	1	65	2
NYG	2013	OUTDOOR	14	864	21
NYG	2013	RETRACTABLE	1	59	3
NYG	2014	INDOOR	2	124	0
NYG	2014	OUTDOOR	13	903	19
NYG	2014	RETRACTABLE	1	59	2
NYJ	2002	INDOOR	1	66	0
NYJ	2002	OUTDOOR	15	851	16
NYJ	2003	INDOOR	1	34	0
NYJ	2003	OUTDOOR	14	844	17
NYJ	2003	RETRACTABLE	1	58	1
NYJ	2004	INDOOR	1	81	1
NYJ	2004	OUTDOOR	15	915	18
NYJ	2005	INDOOR	1	60	4
NYJ	2005	OUTDOOR	15	847	32
NYJ	2006	INDOOR	1	71	1
NYJ	2006	OUTDOOR	15	942	20
NYJ	2007	OUTDOOR	16	1011	20
NYJ	2008	OUTDOOR	16	981	22
NYJ	2009	INDOOR	1	58	1
NYJ	2009	OUTDOOR	12	769	19
NYJ	2009	RETRACTABLE	3	203	4
NYJ	2010	INDOOR	1	70	5
NYJ	2010	OUTDOOR	15	1017	18
NYJ	2011	OUTDOOR	16	1030	25
NYJ	2012	INDOOR	1	65	2
NYJ	2012	OUTDOOR	15	969	30
NYJ	2013	INDOOR	1	46	0
NYJ	2013	OUTDOOR	15	974	15
NYJ	2014	INDOOR	1	74	4
NYJ	2014	OUTDOOR	15	978	20
OAK	2002	INDOOR	1	66	4
OAK	2002	OUTDOOR	15	1003	20
OAK	2003	INDOOR	1	68	3
OAK	2003	OUTDOOR	15	919	22
OAK	2004	INDOOR	2	113	4
OAK	2004	OUTDOOR	13	767	17
OAK	2004	RETRACTABLE	1	59	2
OAK	2005	OUTDOOR	16	997	26
OAK	2006	OUTDOOR	16	949	32
OAK	2007	INDOOR	1	70	2
OAK	2007	OUTDOOR	15	930	40
OAK	2008	INDOOR	1	59	1
